record_id,record_revision,record_date,record_title,record_amount_pence,record_status,line_id,line_position,line_name,line_quantity,line_allocation_pence,line_detail,copy_count,copy_allocation_pence_sum
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-36c3982b-6de4-4afc-bfd3-8b3fd7ca4d38,1,Alpha The Magnet Warrior,1,20,YGLD-ENB11 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-3c173f21-b580-4a8a-8890-5949a466c1e1,2,Beta The Magnet Warrior,1,20,YGLD-ENB12 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-527d9231-f14e-4852-8280-095d82954030,3,"Enishi, Shien's Chancellor",1,20,SDWA-EN011 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-b74cb212-6201-4f41-b515-ce4b50912678,4,Shien's Daredevil,1,20,SDWA-EN020 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-b4a50502-536a-4351-8faf-3d00a03d9388,5,Hand of the Six Samurai,1,20,SDWA-EN015 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-2941430b-03bd-4ea2-88bb-ce773f9eff49,6,Spirit of the Six Samurai,1,20,SDWA-EN012 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-eb6c8082-02b3-47d6-9fc8-5c17185dcba2,7,Shien's Squire,2,40,SDWA-EN019 · 1st Edition · from Bulk lot · 130 card types,2,40
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-70fabdf5-b185-466a-be0f-338aeb00a6f8,8,Dark Hole,1,20,SDWA-EN023 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-42b7affd-4940-437d-bc39-b1d9e725813e,9,The Warrior Returning Alive,1,20,SDWA-EN026 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-9898dd40-28e3-426d-af87-80dfca157d8d,10,Mystic Box,1,20,YGLD-ENA25 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-5b5aa180-4988-4bc3-bdec-ff1e313ca757,11,Brain Control,1,20,YGLD-ENA26 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-289a268b-d98a-4ee1-9ceb-008bdc6a102e,12,Monster Recovery,1,20,YGLD-ENA27 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-6b23fe87-3911-404d-80b9-5f775da89557,13,Horn of the Unicorn,1,20,YGLD-ENA29 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-a1f89c2a-20dc-4ca4-9c13-6f61bc7cdde2,14,Mystical Moon,2,40,YGLD-ENA30 · 1st Edition · from Bulk lot · 130 card types,2,40
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-e6e2e19f-a3e4-4e8a-9c5f-865f756f7b41,15,Burning Land,1,20,YGLD-ENA31 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-a30979d6-e5cf-4465-aa54-6d700580f63b,16,Detonate,1,20,YGLD-ENA33 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-b030fd45-223d-4de7-a7b6-e642e6b47200,17,"Makiu, the Magical Mist",1,20,YGLD-ENA34 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-37e59ef6-2c93-4256-afbf-8d6c7a26c5b2,18,Black Luster Ritual,1,20,YGLD-ENA36 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-25a6918e-7c50-44bb-8fe1-c0818ea3b63f,19,Diffusion Wave-Motion,1,20,YGLD-ENB22 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-7fe6528f-8f08-4c8b-acd2-8d204bfcef58,20,Double Spell,1,20,YGLD-ENB23 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-4d2dadd2-4f5a-4e98-9db1-eda272428633,21,Ectoplasmer,1,20,YGLD-ENB24 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-9f946892-7c4c-4b72-a708-9573d062aafd,22,Dark Magic Curtain,1,20,YGLD-ENB18 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-eec57dfb-a171-4db7-9187-b780258fb4b4,23,Magical Dimension,1,20,YGLD-ENB21 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-d4551fb0-6683-4887-87ed-8b078e1b9e8c,24,Gamma the Magnet Warrior,1,20,YGLD-ENB13 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-8b4af53c-f0bb-4386-92ff-1b2b2e02383b,25,Magicians Unite,1,20,YGLD-ENC30 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-2fd5724b-a254-48d1-83e4-e55f3fc9d44b,26,Thousand Knives,1,20,YGLD-ENB19 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-24ec2680-6021-4351-8bc7-68bcf9755ea8,27,Dark Magic Attack,1,20,YGLD-ENC29 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-283a7141-f5e6-45ee-9162-62534df2f826,28,Emblem of Dragon Destroyer,1,20,YGLD-ENC34 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-462e5307-cb52-4f8b-83c4-6c25a391e05d,29,Magic Formula,1,20,YGLD-ENB20 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-16b9d9d7-e49d-40aa-8eb7-94997576d2c6,30,Dedication through Light and Darkness,1,20,YGLD-ENC31 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-e18f387c-ecdc-4b86-a114-27a111ee4c0f,31,Spell Shattering Arrow,1,20,YGLD-ENA28 · 1st Edition · from Bulk lot · 130 card types,1,20
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-022e6c59-6853-4491-ae98-8a5752668e39,32,Pot of Greed,1,20,YGLD-ENB26 · 1st Edition · from Bulk lot · 130 card types,1,20
