record_id,record_revision,record_date,record_title,record_status,record_amount_pence,line_id,line_position,card_name,line_quantity,line_allocation_pence,line_detail,copy_id,allocation_index,copy_allocation_pence,copy_condition,copy_status,copy_location,printing_set_name,printing_set_code,printing_tcgplayer_url,target_name,target_rarity,target_edition,copy_created_at,copy_updated_at
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-36c3982b-6de4-4afc-bfd3-8b3fd7ca4d38,1,Alpha The Magnet Warrior,1,20,YGLD-ENB11 · 1st Edition · from Bulk lot · 130 card types,copy-df23a4c2-87fc-49fa-8767-49537e9abac8,0,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB11,https://www.tcgplayer.com/product/108254/yugioh-king-of-games-yugis-legendary-decks-alpha-the-magnet-warrior?Language=English&page=1,Alpha The Magnet Warrior,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-3c173f21-b580-4a8a-8890-5949a466c1e1,2,Beta The Magnet Warrior,1,20,YGLD-ENB12 · 1st Edition · from Bulk lot · 130 card types,copy-7cc49bea-d3d0-42c8-ba0e-1cf7770d1d01,1,20,Near Mint,available,,King of Games: Yugi's Legendary Decks,YGLD-ENB12,https://www.tcgplayer.com/product/108255/yugioh-king-of-games-yugis-legendary-decks-beta-the-magnet-warrior?Language=English&page=1,Beta The Magnet Warrior,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-527d9231-f14e-4852-8280-095d82954030,3,"Enishi, Shien's Chancellor",1,20,SDWA-EN011 · 1st Edition · from Bulk lot · 130 card types,copy-03d06adc-94cb-4e44-bc87-180d2d134331,2,20,Near Mint,available,,Structure Deck: Samurai Warlords,SDWA-EN011,https://www.tcgplayer.com/product/59853/yugioh-structure-deck-samurai-warlords-enishi-shiens-chancellor?Language=English&page=1,"Enishi, Shien's Chancellor",Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-b74cb212-6201-4f41-b515-ce4b50912678,4,Shien's Daredevil,1,20,SDWA-EN020 · 1st Edition · from Bulk lot · 130 card types,copy-56882b5f-01b4-4d58-b501-0c368914d2c8,3,20,Near Mint,available,,Structure Deck: Samurai Warlords,SDWA-EN020,https://www.tcgplayer.com/product/59862/yugioh-structure-deck-samurai-warlords-shiens-daredevil?Language=English&page=1,Shien's Daredevil,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-b4a50502-536a-4351-8faf-3d00a03d9388,5,Hand of the Six Samurai,1,20,SDWA-EN015 · 1st Edition · from Bulk lot · 130 card types,copy-1778929a-18a0-4ef6-ac2a-7bb9d9813fe2,4,20,Near Mint,available,,Structure Deck: Samurai Warlords,SDWA-EN015,https://www.tcgplayer.com/product/59857/yugioh-structure-deck-samurai-warlords-hand-of-the-six-samurai?Language=English&page=1,Hand of the Six Samurai,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-2941430b-03bd-4ea2-88bb-ce773f9eff49,6,Spirit of the Six Samurai,1,20,SDWA-EN012 · 1st Edition · from Bulk lot · 130 card types,copy-c047d17b-27ef-46bb-bfe9-c6af86e03504,5,20,Near Mint,available,,Structure Deck: Samurai Warlords,SDWA-EN012,https://www.tcgplayer.com/product/59854/yugioh-structure-deck-samurai-warlords-spirit-of-the-six-samurai?Language=English&page=1,Spirit of the Six Samurai,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-eb6c8082-02b3-47d6-9fc8-5c17185dcba2,7,Shien's Squire,2,40,SDWA-EN019 · 1st Edition · from Bulk lot · 130 card types,copy-c8f865f6-05cc-417a-a8c8-41631c40084b,6,20,Near Mint,available,,Structure Deck: Samurai Warlords,SDWA-EN019,https://www.tcgplayer.com/product/59861/yugioh-structure-deck-samurai-warlords-shiens-squire?Language=English&page=1,Shien's Squire,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-eb6c8082-02b3-47d6-9fc8-5c17185dcba2,7,Shien's Squire,2,40,SDWA-EN019 · 1st Edition · from Bulk lot · 130 card types,copy-64be510d-84a0-46e2-a569-9ea77225ffd5,7,20,Near Mint,available,,Structure Deck: Samurai Warlords,SDWA-EN019,https://www.tcgplayer.com/product/59861/yugioh-structure-deck-samurai-warlords-shiens-squire?Language=English&page=1,Shien's Squire,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-70fabdf5-b185-466a-be0f-338aeb00a6f8,8,Dark Hole,1,20,SDWA-EN023 · 1st Edition · from Bulk lot · 130 card types,copy-f8f6e6ca-e7db-4455-9e57-af155f489a67,8,20,Near Mint,available,,Structure Deck: Samurai Warlords,SDWA-EN023,https://www.tcgplayer.com/product/59865/yugioh-structure-deck-samurai-warlords-dark-hole?Language=English&page=1,Dark Hole,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,active,5608,line-42b7affd-4940-437d-bc39-b1d9e725813e,9,The Warrior Returning Alive,1,20,SDWA-EN026 · 1st Edition · from Bulk lot · 130 card types,copy-54358d27-f3f6-4533-b329-1a1bc1755247,9,20,Near Mint,available,,Structure Deck: Samurai Warlords,SDWA-EN026,https://www.tcgplayer.com/product/59868/yugioh-structure-deck-samurai-warlords-the-warrior-returning-alive?Language=English&page=1,The Warrior Returning Alive,Common,1st Edition,2026-08-07 16:12:55.009,2026-08-07 22:18:03.813
